Vardas              Pavarde             ND1    ND2    ND3    ND4    ND5    Egzaminas 
Kestas              M.                  5      3      1      10     3      2         
Emilija             M.                  7      8      7      6      1      6         
Matas               Q.                  2      10     2      6      2      9         
Kestas              M.                  6      1      8      3      7      9         
Nojus               J.                  10     6      3      10     8      2         
Tomas               R.                  5      8      2      2      8      10        
Lukas               D.                  1      6      9      3      7      4         
Paulius             R.                  6      9      6      2      2      8         
Tomas               R.                  10     3      6      1      10     10        
Emilija             U.                  10     6      10     3      8      2         
Dominykas           K.                  4      6      1      9      10     1         
Lukne               T.                  7      2      10     4      9      9         
Motiejus            M.                  10     6      9      9      4      8         
Lukas               V.                  2      9      4      1      10     8         
Markas              I.                  7      4      10     6      8      9         
Benas               E.                  2      10     10     6      5      3         
Barbora             A.                  4      7      1      9      2      8         
Tomas               P.                  8      5      3      4      3      6         
Lukne               H.                  1      1      10     8      2      5         
Benas               M.                  5      2      6      2      8      6         
Emilija             U.                  5      2      8      2      1      8         
Jonas               M.                  6      10     2      5      6      5         
Motiejus            E.                  4      9      2      5      2      9         
Jonas               C.                  7      1      3      9      4      1         
Adele               R.                  5      8      2      3      8      7         
Markas              P.                  9      5      1      7      10     1         
Benas               V.                  8      5      6      9      9      6         
Matas               O.                  10     1      8      7      6      10        
Kestas              K.                  10     3      4      2      10     2         
Andrius             B.                  3      8      1      2      2      7         
Lukne               O.                  7      2      9      5      2      10        
Juozas              L.                  10     6      8      4      8      6         
Emilija             I.                  2      10     6      8      8      9         
Jokubas             E.                  1      2      9      2      1      8         
Petras              B.                  10     4      2      10     5      3         
Lukas               V.                  6      3      5      4      9      6         
Jokubas             N.                  8      3      1      10     10     8         
Dominykas           U.                  1      4      1      6      7      1         
Adomas              M.                  8      1      3      5      4      2         
Emilija             T.                  3      6      4      2      1      1         
Benas               G.                  2      2      6      2      5      4         
Paulius             U.                  5      6      8      3      1      1         
Lukas               D.                  1      5      9      3      1      5         
Ema                 N.                  5      4      6      4      8      6         
Ema                 S.                  5      7      9      4      3      2         
Juozas              O.                  7      7      1      7      6      9         
Amelija             S.                  4      1      9      7      7      10        
Olivija             Q.                  1      2      4      2      10     1         
Olivija             L.                  2      3      1      9      2      5         
Barbora             I.                  3      4      1      9      2      7         
Olivija             F.                  10     7      5      4      9      10        
Lukne               K.                  2      5      7      10     4      1         
Adele               U.                  6      8      9      8      7      2         
Adele               C.                  9      4      3      1      8      2         
Juozas              C.                  1      8      6      1      4      2         
Juozas              S.                  9      6      6      9      5      3         
Markas              M.                  10     8      4      1      5      5         
Andrius             S.                  3      10     1      5      4      7         
Petras              U.                  8      9      6      9      10     10        
Jonas               Q.                  9      2      8      9      10     8         
Jonas               K.                  4      6      1      7      1      6         
Andrius             N.                  9      5      8      9      8      8         
Petras              V.                  4      8      4      4      3      9         
Jonas               P.                  7      2      7      9      8      8         
Lukas               N.                  1      3      7      7      10     10        
Petras              H.                  2      2      6      7      7      2         
Paulius             M.                  3      10     7      4      4      2         
Juozas              P.                  4      3      3      10     6      2         
Barbora             U.                  7      7      10     1      3      8         
Ema                 F.                  8      3      8      3      2      3         
Daumantas           N.                  3      9      7      8      10     1         
Dominykas           B.                  5      7      5      10     7      3         
Olivija             J.                  7      2      2      1      8      4         
Lukne               D.                  5      5      7      3      2      3         
Tomas               S.                  2      7      2      10     6      5         
Petras              J.                  4      1      4      10     1      8         
Lukas               E.                  10     9      2      3      9      4         
Benas               H.                  3      2      4      10     8      1         
Andrius             L.                  7      8      3      3      2      8         
Ugne                L.                  9      5      4      5      7      8         
Ugne                U.                  6      2      8      10     4      5         
Jonas               E.                  10     4      2      10     10     8         
Lukas               P.                  10     5      3      10     8      6         
Jokubas             M.                  2      1      5      6      2      6         
Jonas               C.                  8      10     4      10     7      1         
Jonas               B.                  3      8      9      7      1      9         
Andrius             B.                  3      6      10     3      3      6         
Kestas              I.                  7      5      2      4      5      10        
Matas               L.                  7      2      4      1      6      1         
Lukas               E.                  9      2      9      7      7      5         
Tomas               P.                  8      6      1      3      1      6         
Lukne               J.                  6      5      4      6      6      9         
Petras              C.                  7      3      10     6      5      8         
Jonas               A.                  4      1      10     7      5      6         
Tomas               I.                  1      10     5      6      6      6         
Liepa               B.                  7      9      9      3      8      7         
Lukas               K.                  6      5      1      8      4      1         
Amelija             C.                  10     1      8      9      2      6         
Jonas               H.                  9      7      2      5      10     10        
Benas               J.                  8      1      8      10     1      8         
Daumantas           C.                  2      7      3      7      7      8         
Barbora             G.                  7      7      5      4      10     9         
Jokubas             O.                  9      3      1      3      7      6         
Juozas              K.                  8      3      10     8      10     10        
Nojus               D.                  6      1      8      7      5      5         
Kestas              L.                  6      2      7      2      9      6         
Petras              R.                  1      5      6      5      3      8         
Motiejus            U.                  1      5      9      9      7      9         
Lukas               J.                  2      2      10     2      7      2         
Daumantas           H.                  6      2      5      5      9      3         
Rokas               L.                  1      2      10     4      1      10        
Lukas               B.                  9      5      8      10     9      7         
Rokas               P.                  6      7      6      7      6      7         
Dominykas           M.                  2      2      4      10     3      2         
Amelija             B.                  3      10     3      6      2      1         
Andrius             Q.                  6      9      9      3      2      3         
Olivija             S.                  3      9      9      4      2      5         
Motiejus            P.                  9      7      4      5      3      6         
Amelija             J.                  10     7      1      6      7      4         
Lukne               I.                  6      2      3      1      3      10        
Ugne                U.                  4      2      5      1      10     1         
Benas               G.                  1      8      3      5      6      10        
Benas               N.                  6      6      8      9      7      3         
Amelija             T.                  2      7      4      9      4      1         
Kestas              R.                  2      4      3      10     1      9         
Ugne                B.                  3      5      7      4      9      9         
Ema                 P.                  9      4      5      9      6      3         
Jonas               I.                  9      2      2      3      3      3         
Jokubas             A.                  9      2      8      1      5      3         
Emilija             S.                  3      10     9      1      4      6         
Emilija             I.                  3      1      3      10     8      4         
Benas               M.                  8      4      3      6      8      5         
Emilija             R.                  6      8      3      7      7      5         
Liepa               O.                  6      5      1      6      4      1         
Markas              E.                  1      8      3      2      10     8         
Motiejus            B.                  5      9      1      2      1      4         
Lukne               O.                  3      3      10     2      9      9         
Juozas              A.                  4      1      4      1      4      3         
Kestas              P.                  2      7      5      2      9      7         
Benas               P.                  1      7      8      8      4      8         
Tomas               O.                  3      4      10     9      10     1         
Juozas              H.                  10     9      8      3      9      4         
Lukas               K.                  2      3      1      1      5      3         
Benas               E.                  1      1      9      1      10     9         
Motiejus            S.                  6      9      6      1      1      1         
Emilija             H.                  2      7      8      7      2      8         
Ema                 V.                  1      1      1      4      2      3         
Markas              O.                  4      3      8      9      9      9         
Jonas               T.                  9      4      6      10     8      6         
Rokas               F.                  3      10     9      8      4      10        
Lukne               J.                  7      1      7      5      2      1         
Dominykas           G.                  7      10     3      6      5      5         
Jonas               F.                  10     4      9      2      10     9         
Nojus               C.                  4      5      7      3      2      1         
Tomas               I.                  6      10     6      8      4      5         
Barbora             P.                  3      7      9      8      3      4         
Adomas              Q.                  1      7      8      8      5      7         
Barbora             C.                  10     5      7      7      2      5         
Juozas              E.                  8      4      10     2      10     6         
Ugne                L.                  1      1      7      10     4      4         
Amelija             F.                  1      4      7      10     8      8         
Kestas              N.                  10     4      10     3      10     7         
Juozas              I.                  7      8      1      10     2      9         
Nojus               S.                  3      7      10     3      7      10        
Emilija             Q.                  10     10     2      5      5      9         
Nojus               C.                  1      1      4      6      4      5         
